# L1 Build Simulation (Up to date)
# 530 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,3.911e-4,0.078,7.824,0.078,7.824,0,0,0,0,0,0,-45,178,9.806,88.019,0,0,0,1210.325,201.329,0.053,0.001,NaN,32.674,NaN,0.007,9.926e4,21.338,9.408e-7,0.535,5.452e-5,0.291,0.124,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.066e-6,8.38,55.154,90,0,2.261,14.87,1010.904,340.31,0.01,0.166
0.02,0.003,0.509,43.096,0.509,43.096,0,0,0,0,0,0,-45,178,9.806,77.261,0,0,0,1210.053,201.058,0.053,0.001,NaN,32.669,NaN,0.007,1.013e5,64.014,2.304e-4,0.534,0.013,0.29,0.124,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.25e-5,8.38,55.154,90,0,2.252,14.87,1010.904,340.31,0.01,0.184
0.03,0.012,1.251,74.217,1.251,74.217,0,0,0,0,0,0,-45,178,9.806,60.849,0,0,0,1209.504,200.509,0.053,0.001,NaN,32.658,NaN,0.008,1.127e5,101.629,0.003,0.526,0.122,0.282,0.124,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.29e-4,8.38,55.154,90,0,2.243,14.87,1010.903,340.31,0.01,0.191
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.029,2.132,88.165,2.132,88.165,0,0,0,0,0,0,-45,178,9.806,46.332,0,0,0,1208.77,199.774,0.052,0.001,NaN,32.645,NaN,0.009,1.355e5,118.435,0.01,0.514,0.315,0.269,0.124,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.199e-4,8.38,55.154,90,0,2.234,14.87,1010.901,340.31,0.01,0.196
0.05,0.055,3.135,100.263,3.135,100.263,0,0,0,0,0,0,-45,178,9.806,35.366,0,0,0,1208.035,199.04,0.052,0.001,NaN,32.631,NaN,0.011,1.687e5,132.991,0.024,0.5,0.478,0.255,0.124,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.233e-4,8.38,55.154,90,0,2.225,14.87,1010.898,340.31,0.01,0.201
0.06,0.092,4.258,112.369,4.258,112.369,0,0,0,0,0,0,-45,178,9.806,27.432,0,0,0,1207.3,198.305,0.052,0.001,NaN,32.617,NaN,0.014,2.105e5,147.547,0.044,0.487,0.57,0.242,0.125,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.391e-4,8.38,55.154,90,0,2.21,14.869,1010.894,340.31,0.01,0.211
0.07,0.141,5.503,124.485,5.503,124.485,0,0,0,0,0,0,-45,178,9.806,21.751,0,0,0,1206.566,197.57,0.052,0.001,NaN,32.603,NaN,0.017,2.599e5,162.103,0.072,0.476,0.604,0.231,0.125,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.675e-4,8.38,55.154,90,0,2.196,14.869,1010.888,340.31,0.01,0.216
0.08,0.203,6.849,134.633,6.849,134.633,0,0,0,0,0,0,-45,178,9.806,17.663,0,0,0,1205.706,196.71,0.052,0.001,NaN,32.587,NaN,0.021,3.154e5,174.256,0.106,0.466,0.606,0.221,0.125,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.063e-4,8.38,55.154,90,0,2.181,14.869,1010.881,340.309,0.01,0.227
0.09,0.278,8.214,136.606,8.214,136.606,0,0,0,0,0,0,-45,178,9.806,14.772,0,0,0,1204.762,195.767,0.052,0.001,NaN,32.569,NaN,0.025,3.727e5,176.535,0.143,0.459,0.59,0.213,0.126,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.471e-4,8.38,55.154,90,0,2.166,14.868,1010.872,340.309,0.01,0.234
0.1,0.367,9.591,137.693,9.591,137.693,0,0,0,0,0,0,-45,178,9.806,12.643,0,0,0,1203.819,194.823,0.052,0.001,NaN,32.551,NaN,0.029,4.313e5,177.746,0.184,0.452,0.566,0.206,0.126,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.891e-4,8.38,55.154,90,0,2.151,14.868,1010.861,340.309,0.01,0.237
0.11,0.47,10.978,138.777,10.978,138.777,0,0,0,0,0,0,-45,178,9.806,11.127,0,0,0,1202.875,193.88,0.052,0.001,NaN,32.534,NaN,0.033,4.909e5,178.957,0.23,0.447,0.544,0.2,0.126,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,8.38,55.154,90,0,2.159,14.867,1010.849,340.308,0.01,0.245
0.119,0.576,12.252,139.808,12.252,139.808,0,0,0,0,0,0,-45,178,9.806,10.027,0,0,0,1202.016,193.02,0.052,0.001,NaN,32.517,NaN,0.037,5.459e5,180.114,0.276,0.444,0.529,0.198,0.126,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,8.38,55.154,90,0,2.166,14.866,1010.837,340.308,0.009,0.252
0.127,0.681,13.4,140.693,13.4,140.693,0,0,0,0,0,0,-45,178,9.806,9.21,0,0,0,1201.243,192.248,0.052,0.001,NaN,32.503,NaN,0.04,5.956e5,181.109,0.323,0.445,0.52,0.198,0.127,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,8.38,55.154,90,0,2.173,14.866,1010.825,340.307,0.008,0.258
0.135,0.784,14.45,140.763,14.45,140.763,0,0,0,0,0,0,-45,178,9.806,8.573,0,0,0,1200.531,191.535,0.052,0.001,NaN,32.489,NaN,0.043,6.411e5,181.132,0.369,0.445,0.512,0.198,0.127,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,8.38,55.154,90,0,2.178,14.865,1010.812,340.307,0.007,0.262
0.142,0.888,15.423,140.562,15.423,140.562,0,0,0,0,0,0,-45,178,9.806,8.06,0,0,0,1199.87,190.875,0.052,0.001,NaN,32.477,NaN,0.046,6.834e5,180.836,0.414,0.445,0.506,0.198,0.127,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,8.38,55.154,90,0,2.184,14.864,1010.8,340.307,0.007,0.265
0.148,0.991,16.333,140.372,16.333,140.372,0,0,0,0,0,0,-45,178,9.806,7.634,0,0,0,1199.252,190.256,0.052,0.001,NaN,32.465,NaN,0.048,7.23e5,180.561,0.459,0.445,0.502,0.198,0.127,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,8.38,55.154,90,0,2.189,14.864,1010.788,340.306,0.006,0.271
# Event LAUNCHROD occurred at t=0.154 seconds
0.154,1.093,17.191,140.192,17.191,140.192,0,0,0,0,0,0,-45,178,9.806,7.247,0,0,0,1198.667,189.672,0.052,0.001,NaN,32.454,NaN,0.051,7.603e5,180.301,0.504,0.445,0.497,0.198,0.127,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,8.38,55.154,90,0,2.186,14.863,1010.776,340.306,0.006,0.276
